name,team,position,height,weight,birthDate,awards,career_stats.games_played,career_stats.approx_val,career_stats.qbrec,career_stats.cmp_pct,career_stats.yds_pass,career_stats.ya,career_stats.passing_td,career_stats.int_thrown,career_stats.sacks,career_stats.solo,career_stats.ff,career_stats.rec,career_stats.yds_receive,career_stats.yr,career_stats.receiving_td,career_stats.fantpt
Salvon Ahmed,Miami Dolphins,R,5-11,196lb,1998-12-29,[],7,3,,,,,,,,,,,,,,60.8
Brandon Aiyuk,San Francisco 49ers,W,6-0,205lb,1998-03-17,[],13,6,,,,,,,,,,60,748,12.5,5,124.5
Cam Akers,Los Angeles Rams,R,5-10,217lb,1999-06-22,[],13,4,,,,,,,,,,,,,,90.8
Jordan Akins,Houston Texans,T,6-4,243lb,1992-04-19,[],46,9,,,,,,,,,,90,1046,11.6,3,123.0
Azeez Al-Shaair,San Francisco 49ers,L,6-2,228lb,1997-08-04,[],32,7,,,,,,,,,,,,,,
Jaire Alexander,Green Bay Packers,C,5-10,196lb,1997-02-09,[],45,22,,,,,,,,,,,,,,
Kwon Alexander,New Orleans Saints,O,6-1,227lb,1994-08-03,[],67,37,,,,,,,8.5,334,9,,,,,
Mackensie Alexander,Minnesota Vikings,C,5-10,192lb,1993-11-12,[],69,11,,,,,,,4.5,115,0,,,,,
Robert Alford,Arizona Cardinals,C,5-10,186lb,1988-10-31,[],89,27,,,,,,,,,,,,,,
Mo Alie-Cox,Indianapolis Colts,T,6-5,267lb,1993-09-19,[],41,5,,,,,,,,,,46,620,13.5,4,84.0
Nick Allegretti,Kansas City Chiefs,G,6-4,320lb,1996-04-21,[],24,7,,,,,,,,,,,,,,
Brandon Allen,Cincinnati Bengals,Q,6-2,209lb,1992-09-05,[],8,4,2-6-0,57.1,1440,6.4,8,6,,,,,,,,82.2
Brian Allen,Los Angeles Rams,C,6-2,303lb,1995-10-11,[],23,6,,,,,,,,,,,,,,
Dakota Allen,Jacksonville Jaguars,L,6-1,232lb,1995-11-02,[],19,0,,,,,,,,,,,,,,
Jonathan Allen,Washington Football Team,D,6-3,300lb,1995-01-16,[],54,28,,,,,,,20.0,126,0,,,,,
Josh Allen,Buffalo Bills,Q,6-5,237lb,1996-05-21,[],45,37,28-16-0,61.7,9977,7.1,68,31,,,,,,,,909.0
Josh Allen,Jacksonville Jaguars,E,6-5,262lb,1997-07-13,[],25,10,,,,,,,14.0,41,2,,,,,
Keenan Allen,Los Angeles Chargers,W,6-2,211lb,1992-04-27,"['2017 AP Comeback Player', '2017 PFWA Comeback Player']",101,63,,,,,,,,,,633,7497,11.8,42,1005.6
Kyle Allen,Washington Football Team,Q,6-3,210lb,1996-03-08,[],19,9,7-10-0,63.1,4198,6.9,23,17,,,,,,,,249.0
Marcus Allen,Pittsburgh Steelers,S,6-2,215lb,1996-08-07,[],18,0,,,,,,,,,,,,,,
Ricardo Allen,Cincinnati Bengals,C,5-9,186lb,1991-12-18,[],78,28,,,,,,,,,,,,,,
Zach Allen,Arizona Cardinals,D,6-4,281lb,1997-08-20,[],18,5,,,,,,,2.0,26,0,,,,,
Tyson Alualu,Pittsburgh Steelers,D,6-3,304lb,1987-05-12,[],173,53,,,,,,,24.5,254,4,,,,,
Ugo Amadi,Seattle Seahawks,S,5-9,201lb,1997-05-16,[],31,1,,,,,,,,,,,,,,
Danny Amendola,Houston Texans,W,5-11,185lb,1985-11-02,[],156,52,,,,,,,,,,598,5998,10.0,22,745.0
Adrian Amos,Green Bay Packers,F,6-0,214lb,1993-04-29,[],93,34,,,,,,,,,,,,,,
Bradlee Anae,Dallas Cowboys,D,6-3,257lb,1998-10-17,[],8,0,,,,,,,,,,,,,,
Tremayne Anchrum,Los Angeles Rams,O,6-2,314lb,1998-06-24,[],12,1,,,,,,,,,,,,,,
Calvin Anderson,Denver Broncos,T,6-5,300lb,1996-03-25,[],17,2,,,,,,,,,,,,,,
Henry Anderson,New England Patriots,D,6-6,301lb,1991-08-03,[],75,23,,,,,,,11.5,98,1,,,,,
Robby Anderson,Carolina Panthers,W,6-3,190lb,1993-05-09,[],79,32,,,,,,,,,,303,4212,13.9,24,567.4
Stephen Anderson,Los Angeles Chargers,T,6-3,230lb,1993-01-30,[],46,5,,,,,,,,,,45,542,12.0,2,66.2
David Andrews,New England Patriots,C,6-3,300lb,1992-07-10,[],73,36,,,,,,,,,,,,,,
Josh Andrews,Atlanta Falcons,G,6-2,298lb,1991-06-21,[],40,3,,,,,,,,,,,,,,
Mark Andrews,Baltimore Ravens,T,6-5,256lb,1995-09-06,[],46,24,,,,,,,,,,159,2125,13.4,20,330.5
Bryan Anger,Dallas Cowboys,P,6-3,205lb,1988-10-06,[],143,21,,,,,,,,,,,,,,0.8
Alex Anzalone,Detroit Lions,O,6-3,241lb,1994-09-22,[],39,7,,,,,,,4.0,87,3,,,,,
Troy Apke,Washington Football Team,S,6-1,205lb,1995-04-11,[],35,1,,,,,,,,,,,,,,
Eli Apple,Cincinnati Bengals,C,6-1,203lb,1995-08-09,[],58,18,,,,,,,,,,,,,,
JJ Arcega-Whiteside,Philadelphia Eagles,W,6-2,225lb,1996-12-31,[],25,2,,,,,,,,,,14,254,18.1,1,39.4
Arik Armstead,San Francisco 49ers,D,6-7,292lb,1993-11-15,[],79,32,,,,,,,22.5,126,3,,,,,
Terron Armstead ,New Orleans Saints,O,6-5,304lb,1991-07-23,[],90,58,,,,,,,,,,,,,,
Dorance Armstrong Jr.,Dallas Cowboys,D,6-4,255lb,1997-06-10,[],47,7,,,,,,,2.5,41,2,,,,,
Damon Arnette,Las Vegas Raiders,C,6-0,195lb,1996-09-02,[],10,0,,,,,,,,,,,,,,
Dan Arnold,Carolina Panthers,W,6-6,220lb,1995-03-15,[],32,7,,,,,,,,,,53,721,13.6,7,112.1
Devin Asiasi,New England Patriots,T,6-3,257lb,1997-08-14,[],9,0,,,,,,,,,,2,39,19.5,1,9.9
Jeremiah Attaochu,Chicago Bears,O,6-3,252lb,1993-01-17,[],75,17,,,,,,,20.5,113,4,,,,,
Antony Auclair,Houston Texans,T,6-6,256lb,1993-05-28,[],41,0,,,,,,,,,,10,84,8.4,0,8.4
Blessuan Austin,Seattle Seahawks,C,6-1,198lb,1996-07-19,[],18,5,,,,,,,,,,,,,,
Tavon Austin,Jacksonville Jaguars,W,5-8,179lb,1990-03-15,[],100,28,,,,,,,,,,220,2026,9.2,15,486.6
Denico Autry,Tennessee Titans,D,6-5,285lb,1990-07-15,[],97,31,,,,,,,30.5,142,3,,,,,
Anthony Averett,Baltimore Ravens,C,5-11,178lb,1994-11-30,[],31,2,,,,,,,,,,,,,,
Genard Avery,Philadelphia Eagles,L,6-0,250lb,1995-04-26,[],38,6,,,,,,,6.5,39,1,,,,,
Chidobe Awuzie,Cincinnati Bengals,C,6-0,202lb,1995-05-24,[],50,17,,,,,,,,,,,,,,
Oshane Ximines,New York Giants,E,6-4,252lb,1996-12-07,[],22,2,,,,,,,4.5,16,0,,,,,
Rock Ya-Sin,Indianapolis Colts,C,6-0,192lb,1996-05-23,[],29,8,,,,,,,,,,,,,,
Isaac Yiadom,Green Bay Packers,C,6-1,190lb,1996-02-20,[],46,10,,,,,,,,,,,,,,
Chase Young,Washington Football Team,D,6-5,264lb,1999-04-14,['2020 AP Def. RoY'],17,15,,,,,,,7.5,36,4,,,,,
Kenny Young,Los Angeles Rams,M,6-1,234lb,1994-11-15,[],47,13,,,,,,,3.5,91,2,,,,,
Tavon Young,Baltimore Ravens,C,5-9,185lb,1994-03-14,[],34,11,,,,,,,,,,,,,,
Olamide Zaccheaus,Atlanta Falcons,W,5-8,193lb,1997-07-23,[],22,3,,,,,,,,,,23,389,16.9,2,56.9
Kevin Zeitler,Baltimore Ravens,G,6-4,315lb,1990-03-08,[],136,62,,,,,,,,,,,,,,
Justin Zimmer,Buffalo Bills,D,6-3,292lb,1992-10-23,[],16,2,,,,,,,,,,,,,,
Greg Zuerlein,Dallas Cowboys,K,6-0,191lb,1987-12-27,['1x All-Pro'],136,27,,,,,,,,,,,,,,
Brandon Zylstra,Carolina Panthers,W,6-2,215lb,1993-03-25,[],41,1,,,,,,,,,,12,164,13.7,0,22.5
