Player,Position,Injuries,Practice Status,Game Status,Year,Period
Darrell Green,CB,Hip,,Questionable,2002,REG13
Walter Rasby,TE,Abdomen,,Probable,2002,REG13
Daryl Gardener,DT,Back,,Probable,2002,REG13
Renaldo Wynn,DE,Groin,,Doubtful,2002,REG13
Brenden Stai,G,Knee,,Questionable,2002,REG13
Bryan Barker,P,Ankle,,Probable,2002,REG13
Fred Smoot,CB,Back,,Questionable,2002,REG13
LaVar Arrington,LB,Knee,,Probable,2002,REG13
Javiar Collins,T,Knee,,Out,2002,REG13
Duane Hawthorne,CB,Knee,,Questionable,2002,REG13
Randal Williams,WR,Concussion,,Questionable,2002,REG13
Darren Woodson,S,Abdomen,,Out,2002,REG13
Ebenezer Ekuban,DE,Quadricep,,Probable,2002,REG13
Tebucky Jones,CB,Leg,,Questionable,2002,REG13
David Givens,WR,Leg,,Questionable,2002,REG13
Jared DeVries,DE,Foot,,Out,2002,REG13
Robert Porcher,DE,Knee,,Questionable,2002,REG13
Brian Walker,S,Toe,,Questionable,2002,REG13
Lamar Campbell,S,Hamstring,,Questionable,2002,REG13
Aveion Cason,RB,Knee,,Probable,2002,REG13
Corey Harris,S,Knee,,Questionable,2002,REG13
Chad Pennington,QB,Wrist,,Out,2003,REG1
Larry Moore,C,Knee,,Questionable,2003,REG1
Peppi Zellner,DE,Knee,,Probable,2003,REG1
Taylor Jacobs,WR,Abdomen,,Doubtful,2003,REG1
Wilbert Brown,C,Elbow,,Questionable,2003,REG1
Jermaine Haley,DT,Ankle,,Probable,2003,REG1
Derrius Thompson,WR,Oblique,,Probable,2003,REG13
Jay Fiedler,QB,Knee,,Probable,2003,REG13
Jamie Nails,G,Ankle,,Questionable,2003,REG13
Jeff Zgonina,DT,Ribs,,Probable,2003,REG13
Larry Chester,DT,Quadricep,,Questionable,2003,REG13
Zach Thomas,LB,Concussion,,Questionable,2003,REG13
J.R. Tolver,WR,Knee,,Out,2003,REG13
Todd Perry,G,Elbow,,Probable,2003,REG13
Jason Taylor,DE,Knee,,Probable,2003,REG13
Sam Simmons,WR,Ankle,,Out,2003,REG13
Kurt Vollers,T,Back,,Questionable,2003,REG13
Brett Favre,QB,Thumb,,Probable,2003,REG13
Darren Sharper,S,Chest,,Questionable,2003,REG13
T. Marcus Spriggs,T,Hamstring,,Questionable,2003,REG13
Rob Davis,C,Back,,Probable,2003,REG13
Nick Barnett,LB,Ankle,,Questionable,2003,REG13
Kenny Peterson,DT,Knee,,Questionable,2003,REG13
James Davis,LB,Shoulder,,Out,2003,REG13
Jared DeVries,DE,Shoulder,,Doubtful,2003,REG13
Dre' Bly,CB,Leg,,Probable,2003,REG13
Eddie Drummond,WR,"Ankle, Knee",,Questionable,2003,REG13
Charles Rogers,WR,Collarbone,,Out,2003,REG13
James Mungro,RB,Wrist,,Questionable,2004,REG1
Brad Pyatt,WR,Thigh,,Questionable,2004,REG1
Troy Walters,WR,Wrist,,Out,2004,REG1
Donald Strickland,CB,"Shoulder, Hip",,Probable,2004,REG1
Cory Bird,S,Concussion,,Questionable,2004,REG1
Gilbert Gardner,LB,Ankle,,Out,2004,REG1
Joseph Jefferson,CB,Knee,,Out,2004,REG1
Bob Sanders,S,Foot,,Out,2004,REG1
Aaron Moorehead,WR,Ankle,,Probable,2004,REG1
Benjamin Watson,TE,Knee,,Probable,2004,REG1
Tom Brady,QB,Shoulder,,Probable,2004,REG1
Troy Brown,WR,Knee,,Questionable,2004,REG1
Jim Miller,QB,Shoulder,,Probable,2004,REG1
Kevin Faulk,RB,Personal Reasons,,Out,2004,REG1
Rocky Calmus,LB,Back,,Questionable,2004,REG1
Carlos Hall,DE,Ankle,,Questionable,2004,REG1
Erron Kinney,TE,Calf,,Questionable,2004,REG1
Tyrone Calico,WR,Knee,,Out,2004,REG1
Joe Nedney,K,Left Hamstring,,Out,2004,REG1
Brad Kassell,LB,Achilles,,Out,2004,REG1
Travis LaBoy,DE,Concussion,,Questionable,2004,REG1
Jake Schifino,WR,Hamstring,,Questionable,2004,REG1
Derrick Pope,LB,Ankle,,Probable,2004,REG1
Rob Konrad,RB,Thigh,,Out,2004,REG1
Bryan Robinson,DT,Hand,,Probable,2004,REG1
Dario Romero,DT,Ankle,,Probable,2004,REG1
Patrick Surtain,CB,Groin,,Probable,2004,REG1
Leonard Henry,RB,"Hip, Quadricep",,Probable,2004,REG1
Zach Thomas,LB,Hip,,Probable,2004,REG1
Tim Bowens,DT,Back,,Out,2004,REG1
Doug Easlick,RB,Hamstring,,Probable,2004,REG1
Rick DeMulling,G,Chest,,Doubtful,2004,REG12
Troy Walters,WR,Upper Arm Fracture,,Questionable,2004,REG12
Tupe Peko,G,Ankle,,Out,2004,REG12
Mike Vanderjagt,K,Groin,,Probable,2004,REG12
Gilbert Gardner,LB,Hamstring,,Doubtful,2004,REG12
Nick Harper,CB,Shoulder,,Probable,2004,REG12
Joseph Jefferson,CB,Knee,,Probable,2004,REG12
Dwight Freeney,DE,Calf,,Probable,2004,REG12
Robert Mathis,DE,Groin,,Probable,2004,REG12
Bob Sanders,S,Knee,,Out,2004,REG12
Shaun Rogers,DT,Neck,,Probable,2004,REG12
Az-Zahir Hakim,WR,Hip,,Questionable,2004,REG12
Cory Redding,DT,Hamstring,,Probable,2004,REG12
Boss Bailey,LB,Knee,,Out,2004,REG12
Dan Wilkinson,DT,Elbow,,Probable,2004,REG12
Damien Woody,G,Quadricep,,Probable,2004,REG12
Eddie Drummond,WR,Knee,,Probable,2004,REG12
Marcus Reese,LB,Foot,,Out,2004,REG12
Bobby Gray,S,Groin,,Probable,2004,REG12
Jerry Azumah,CB,Side,,Probable,2004,REG12
Ruben Brown,G,Neck,,Doubtful,2004,REG12
Charles Tillman,CB,Knee,,Probable,2004,REG12
Brian Urlacher,LB,Lower Leg,,Out,2004,REG12
Richie Anderson,RB,Concussion,,Questionable,2004,REG12
Vinny Testaverde,QB,Right Shoulder,,Questionable,2004,REG12
Keyshawn Johnson,WR,Knee,,Probable,2004,REG12
Cory Raymer,C,Ankle,,Probable,2004,REG15
John Hall,K,Quadricep,,Out,2004,REG15
James Thrash,WR,Hamstring,,Probable,2004,REG15
Laveranues Coles,WR,Toe,,Probable,2004,REG15
Robert Royal,TE,Back,,Probable,2004,REG15
Demetric Evans,DE,Ankle,,Questionable,2004,REG15
LaVar Arrington,LB,Knee,,Questionable,2004,REG15
Jason Doering,S,Ankle,,Out,2004,REG15
Shawn Springs,CB,Concussion,,Out,2004,REG15
Maurice Hicks,RB,Ribs,,Probable,2004,REG15
Kevan Barlow,RB,Knee,,Questionable,2004,REG15
Scott Gragg,T,Shoulder,,Probable,2004,REG15
Tim Rattay,QB,Foot,,Doubtful,2004,REG15
Jeff Mitchell,C,Knee,,Probable,2004,REG15
Chris Gamble,CB,Groin,,Probable,2004,REG15
Casey Cramer,RB,Concussion,,Doubtful,2004,REG15
Nick Goings,RB,Ankle,,Probable,2004,REG15
Eddie Jackson,CB,Shoulder,,Questionable,2004,REG15
Ed Jasper,DT,Hand,,Questionable,2004,REG15
T.J. Duckett,RB,Knee,,Out,2004,REG15
Jason Webster,CB,Groin,,Questionable,2004,REG15
Duce Staley,RB,Hamstring,,Questionable,2004,REG15
Verron Haynes,RB,Knee,,Questionable,2004,REG15
Troy Polamalu,S,Shoulder,,Probable,2004,REG15
Chidi Iwuoma,CB,Shoulder,,Probable,2004,REG15
Brett Keisel,DE,Hamstring,,Probable,2004,REG15
Kendrell Bell,LB,Groin,,Out,2004,REG15
Plaxico Burress,WR,Hamstring,,Questionable,2004,REG15
Clark Haggans,LB,Groin,,Out,2004,REG15
Clint Kriewaldt,LB,Hamstring,,Questionable,2004,REG15
Chukky Okobi,C,Back,,Probable,2004,REG15
Chad Scott,CB,Knee,,Out,2004,REG15
James Farrior,LB,Shoulder,,Questionable,2004,REG15
Chris Snee,G,"Jaw, Inflamed Gland",,Doubtful,2004,REG15
Barrett Green,LB,Knee,,Out,2004,REG15
Jamaar Taylor,WR,Quadricep,,Doubtful,2004,REG15
Derrick Ward,RB,Ankle,,Questionable,2004,REG15
Norman Hand,DT,Groin,,Doubtful,2004,REG15
Gibril Wilson,S,"Shoulder, Burner",,Doubtful,2004,REG15
Marco Rivera,G,Back,,Probable,2004,REG16
Robert Ferguson,WR,"Head, Neck",,Out,2004,REG16
James Lee,DT,Knee,,Out,2004,REG16
Na'il Diggs,LB,"Back, Kidney",,Probable,2004,REG16
Grady Jackson,DT,Knee,,Probable,2004,REG16
Kevin Barry,T,Quadricep,,Questionable,2004,REG16
Kabeer Gbaja-Biamila,DE,Neck,,Probable,2004,REG16
Bryant McKinnie,T,Back,,Probable,2004,REG16
Matt Birk,C,Abdomen,,Probable,2004,REG16
Onterrio Smith,RB,Illness,,Probable,2004,REG16
Antoine Winfield,CB,Ankle,,Probable,2004,REG16
Ralph Brown,CB,Eye,,Out,2004,REG16
Kerry Collins,QB,Abdomen,,Probable,2004,REG16
DeLawrence Grant,LB,Knee,,Questionable,2004,REG16
Charles Woodson,CB,Knee,,Doubtful,2004,REG16
Tyrone Wheatley,RB,"Hamstring, Foot",,Out,2004,REG16
Barry Sims,T,Back,,Questionable,2004,REG16
Tyler Brayton,DE,Neck,,Doubtful,2004,REG16
Ron Stone,G,Knee,,Out,2004,REG16
Sam Williams,LB,Ankle,,Doubtful,2004,REG16
Courtney Anderson,TE,Knee,,Doubtful,2004,REG16
Phillip Buchanon,CB,Tailbone,,Doubtful,2004,REG16
John Stone,WR,Hamstring,,Probable,2004,REG16
Johnnie Morton,WR,Knee,,Doubtful,2004,REG16
Derrick Blaylock,RB,Knee,,Questionable,2004,REG16
Jerome Woods,S,Knee,,Doubtful,2004,REG16
Willie Roaf,T,Ankle,,Probable,2004,REG16
Junior Siavii,DT,Ankle,,Probable,2004,REG16
Omar Easy,RB,Knee,,Probable,2004,REG16
Jason Dunn,TE,Knee,,Probable,2004,REG16
Trent Green,QB,Ribs,,Probable,2004,REG16
Ryan Sims,DT,Ankle,,Probable,2004,REG16
Monty Beisel,LB,Hip Flexor,,Probable,2004,REG16
Chris Horn,WR,Knee,,Questionable,2004,REG16
Chris Bober,C,Toe,,Questionable,2004,REG16
Vonnie Holliday,DE,Groin,,Out,2004,REG16
Trevor Pryce,DE,Back,,Questionable,2004,REG16
Dan Neil,G,"Abdomen, Knee",,Questionable,2004,REG16
Reuben Droughns,RB,"Neck, Knee",,Probable,2004,REG16
Sam Brandon,S,Ankle,,Questionable,2004,REG16
Cooper Carlisle,G,Ankle,,Questionable,2004,REG16
Triandos Luke,WR,Shoulder,,Probable,2004,REG16
Tatum Bell,RB,Shoulder,,Probable,2004,REG16
Kyle Johnson,RB,Ankle,,Doubtful,2004,REG16
Carlos Hall,DE,"Knee, Finger",,Questionable,2004,REG16
Samari Rolle,CB,Knee,,Out,2004,REG16
Andre Woolfolk,CB,Wrist,,Out,2004,REG16
Chris Brown,RB,Toe,,Out,2004,REG16
Benji Olson,G,Toe,,Questionable,2004,REG16
Jason Mathews,T,Back,,Questionable,2004,REG16
Erron Kinney,TE,Ankle,,Questionable,2004,REG16
Lance Schulters,S,Foot,,Out,2004,REG16
Steve McNair,QB,Sternum,,Questionable,2004,REG16
Rocky Boiman,LB,Calf,,Questionable,2004,REG16
Justin Hartwig,C,Finger,,Questionable,2004,REG16
Albert Haynesworth,DT,Elbow,,Questionable,2004,REG16
Brad Hopkins,T,Hand,,Questionable,2004,REG16
Shad Meier,TE,"Hip, Wrist",,Questionable,2004,REG16
Derrick Mason,WR,Ankle,,Questionable,2004,REG16
Cody Spencer,LB,Abdomen,,Questionable,2004,REG16
Rich Gardner,CB,Toe,,Questionable,2004,REG16
Fred Miller,T,Ankle,,Questionable,2004,REG16
Wayne Chrebet,WR,Concussion,,Probable,2004,POST1
John Abraham,DE,Knee,,Probable,2004,POST1
Kenyatta Wright,LB,Ankle,,Questionable,2004,POST1
Keenan McCardell,WR,Hamstring,,Questionable,2004,POST1
Jesse Chatman,RB,Toe,,Probable,2004,POST1
Tim Dwight,WR,Toe,,Questionable,2004,POST1
Sammy Davis,CB,Fracture lower leg,,Questionable,2004,POST1
Leonard Little,DE,Groin,,Questionable,2004,POST1
Brandon Chillar,LB,Shoulder,,Probable,2004,POST1
Bryce Fisher,DE,Ankle,,Probable,2004,POST1
Arlen Harris,RB,Hamstring,,Doubtful,2004,POST1
Tom Nutten,G,Knee,,Doubtful,2004,POST1
Isaac Bruce,WR,Hip,,Probable,2004,POST1
Tyoka Jackson,DE,Ankle,,Questionable,2004,POST1
Bobby Taylor,CB,Knee,,Questionable,2004,POST1
Grant Wistrom,DE,Knee,,Doubtful,2004,POST1
Itula Mili,TE,Thigh,,Questionable,2004,POST1
Darrell Jackson,WR,Hamstring,,Probable,2004,POST1
Niko Koutouvides,LB,Knee,,Questionable,2004,POST1
Marcus Trufant,CB,Thigh,,Probable,2004,POST1
Jerry Wunsch,G,Illness,,Probable,2004,POST1
Jerheme Urban,WR,Foot,,Out,2004,POST1
Marcus Tubbs,DT,Ankle,,Out,2004,POST1
John Abraham,DE,Knee,,Questionable,2004,POST2
Chad Pennington,QB,Illness,,Probable,2004,POST2
Dewayne Robertson,DT,Thigh,,Probable,2004,POST2
Kenyatta Wright,LB,Foot,,Probable,2004,POST2
James Harrison,LB,Groin,,Probable,2004,POST2
Duce Staley,RB,Hamstring,,Probable,2004,POST2
Verron Haynes,RB,Knee,,Probable,2004,POST2
Ricardo Colclough,CB,Shoulder,,Probable,2004,POST2
Kendrell Bell,LB,Groin,,Probable,2004,POST2
Clark Haggans,LB,Groin,,Probable,2004,POST2
Deshea Townsend,CB,Hand,,Probable,2004,POST2
Jerome Bettis,RB,Ankle,,Probable,2004,POST2
Steven Jackson,RB,Ribs,,Probable,2004,POST2
Arlen Harris,RB,Hamstring,,Questionable,2004,POST2
Tom Nutten,G,Knee,,Probable,2004,POST2
Isaac Bruce,WR,"Groin, Hand",,Probable,2004,POST2
Adam Timmerman,G,"Foot, Knee",,Probable,2004,POST2
Jimmy Kennedy,DT,Foot,,Probable,2004,POST2
Tyoka Jackson,DE,Ankle,,Questionable,2004,POST2
Doug Gabriel,WR,Finger,,Out,2005,REG1
Justin Fargas,RB,Knee,,Questionable,2005,REG1
Jerry Porter,WR,Hamstring,,Questionable,2005,REG1
Tom Brady,QB,Shoulder,,Probable,2005,REG1
Jarvis Green,DE,Thigh,,Questionable,2005,REG1
James Sanders,S,Ankle,,Questionable,2005,REG1
Brandon Gorin,T,Thigh,,Questionable,2005,REG1
Tully Banta-Cain,LB,Knee,,Questionable,2005,REG1
Andre Davis,WR,Foot,,Questionable,2005,REG1
Duane Starks,CB,Thigh,,Questionable,2005,REG1
David Givens,WR,Chest,,Questionable,2005,REG1
Dan Klecko,DT,Knee,,Questionable,2005,REG1
Bethel Johnson,WR,Thigh,,Questionable,2005,REG1
Dexter McCleon,CB,Groin,,Questionable,2005,REG7
Kevin Sampson,T,Illness,,Questionable,2005,REG7
Samie Parker,WR,Knee,,Questionable,2005,REG7
Brian Waters,G,Knee,,Probable,2005,REG7
Greg Wesley,S,Back,,Probable,2005,REG7
Gary Stills,LB,Shoulder,,Probable,2005,REG7
Jason Dunn,TE,Knee,,Probable,2005,REG7
Ryan Sims,DT,Foot,,Out,2005,REG7
Larry Johnson,RB,Quadricep,,Probable,2005,REG7
Junior Seau,LB,Calf,,Questionable,2005,REG7
Jason Taylor,DE,Foot,,Questionable,2005,REG7
Demetrin Veal,DT,Shoulder,,Probable,2005,REG12
Champ Bailey,CB,Hamstring,,Probable,2005,REG12
Jeb Putzier,TE,Side/Shoulder,,Probable,2005,REG12
Darius Watts,WR,Ankle,,Probable,2005,REG12
Tatum Bell,RB,Chest,,Questionable,2005,REG12
Jason Elam,K,Calf,,Probable,2005,REG12
Patrick Crayton,WR,Ankle,,Questionable,2005,REG12
Scott Shanle,LB,Ankle,,Probable,2005,REG12
Anthony Henry,CB,Groin,,Probable,2005,REG12
Brady Smith,DE,Toe,,Questionable,2005,REG12
Todd Weiner,T,Arm,,Probable,2005,REG12
Kynan Forney,G,Leg,,Probable,2005,REG12
Jeff Garcia,QB,Lower Leg,,Questionable,2005,REG12
Boss Bailey,LB,Ankle,,Questionable,2005,REG12
Dre' Bly,CB,Wrist,,Probable,2005,REG12
Earl Holmes,LB,Knee,,Doubtful,2005,REG12
Matt Bryant,K,Hamstring,,Probable,2005,REG15
Juran Bolden,CB,Calf,,Probable,2005,REG15
Anthony McFarland,DT,Hamstring,,Doubtful,2005,REG15
Marquis Cooper,LB,Chest,,Questionable,2005,REG15
Benjamin Watson,TE,Head,,Questionable,2005,REG15
Tom Brady,QB,"Shoulder, Shin",,Questionable,2005,REG15
Patrick Pass,RB,Hamstring,,Questionable,2005,REG15
Artrell Hawkins,S,Thigh,,Questionable,2005,REG15
Corey Dillon,RB,Calf,,Questionable,2005,REG15
Heath Evans,RB,Shoulder,,Questionable,2005,REG15
Matt Light,T,Ankle,,Doubtful,2005,REG15
Kevin Faulk,RB,Foot,,Questionable,2005,REG15
Asante Samuel,CB,Infection,,Questionable,2005,REG15
Michael Stone,S,Ankle,,Questionable,2005,REG15
Tom Ashworth,T,Knee,,Questionable,2005,REG15
Nick Kaczur,T,Shoulder,,Questionable,2005,REG15
Daniel Graham,TE,Shoulder,,Questionable,2005,REG15
Bethel Johnson,WR,Pelvis,,Questionable,2005,REG15
Carlos Hall,DE,Neck,,Questionable,2005,REG15
Jerome Woods,S,Hamstring,,Questionable,2005,REG15
Shawn Barber,LB,Hamstring,,Questionable,2005,REG15
Boomer Grigsby,LB,Abdomen,,Probable,2005,REG15
Casey Wiegmann,C,Ankle,,Probable,2005,REG15
John Browning,DT,Knee,,Probable,2005,REG15
William Joseph,DT,Ankle,,Out,2005,REG15
Antonio Pierce,LB,Ankle,,Out,2005,REG15
Kareem McKenzie,T,Hamstring,,Questionable,2005,REG15
Jamaar Taylor,WR,Knee,,Out,2005,REG15
Luke Petitgout,T,Back,,Questionable,2005,REG15
Keith Burns,LB,Knee,,Probable,2005,REG15
Cornell Green,T,Shoulder,,Questionable,2005,REG15
Sam Brandon,S,Knee,,Probable,2005,REG15
Darrent Williams,CB,Groin,,Out,2005,REG15
D.J. Williams,LB,Thigh,,Probable,2005,REG15
Courtney Brown,DE,Knee,,Probable,2005,REG15
Lauvale Sape,DT,Ankle,,Doubtful,2005,REG15
Mike Williams,T,Chest,,Questionable,2005,REG15
J.P. Losman,QB,Shoulder,,Questionable,2005,REG15
Marco Rivera,G,Neck,,Questionable,2005,REG16
Anthony Henry,CB,Groin,,Probable,2005,REG16
Brad Hoover,RB,Calf,,Probable,2005,REG16
DeShaun Foster,RB,Shoulder,,Probable,2005,REG16
Mike Rucker,DE,Ankle,,Probable,2005,REG16
Corey Simon,DT,Foot,,Questionable,2005,REG16
Jake Scott,G,Neck,,Probable,2005,REG16
Gerome Sapp,S,Back,,Questionable,2005,REG16
Josh Thomas,DE,Shoulder,,Probable,2005,REG16
Mike Vanderjagt,K,"Right Groin, Right Calf",,Probable,2005,REG16
Ryan Diem,T,Jaw,,Out,2005,REG16
Nick Harper,CB,Ankle,,Probable,2005,REG16
Peyton Manning,QB,Knee,,Probable,2005,REG16
Montae Reagor,DT,Knee,,Questionable,2005,REG16
Robert Mathis,DE,Foot,,Doubtful,2005,REG16
Bob Sanders,S,Back,,Questionable,2005,REG16
Marvin Harrison,WR,Hand,,Questionable,2005,REG16
Cato June,LB,"Ankle/Groin, Knee",,Doubtful,2005,REG16
Chartric Darby,DT,Knee,,Questionable,2005,REG16
Darrell Jackson,WR,Knee,,Questionable,2005,REG16
Kelly Herndon,CB,Knee,,Out,2005,REG16
Kevin Bentley,LB,Neck,,Probable,2005,REG16
Andre Dyson,CB,Ankle,,Out,2005,REG16
John Howell,S,Hamstring,,Questionable,2005,REG16
Allen Rossum,CB,Knee,,Questionable,2005,REG16
Keion Carpenter,S,Thigh,,Questionable,2005,REG16
Brady Smith,DE,Toe,,Doubtful,2005,REG16
Kynan Forney,G,Neck,,Questionable,2005,REG16
Antwan Lake,DT,Shoulder,,Questionable,2005,REG16
Juran Bolden,CB,Calf,,Probable,2005,REG16
Scott Jackson,C,Appendix,,Out,2005,REG16
Anthony McFarland,DT,Hamstring,,Questionable,2005,REG16
Anthony Becht,TE,Ankle,,Questionable,2005,REG16
Marquis Cooper,LB,Chest,,Questionable,2005,REG16
Kenyatta Walker,T,Shoulder,,Probable,2005,REG16
Mike Williams,T,Chest,,Questionable,2005,REG16
Ryan Neufeld,TE,Knee,,Out,2005,REG16
J.P. Losman,QB,Shoulder,,Probable,2005,REG16
Reggie Kelly,TE,Wrist,,Questionable,2005,REG16
Bryan Robinson,DT,Foot,,Out,2005,REG16
Willie Anderson,T,Knee,,Probable,2005,REG16
Jonathan Fanene,DE,Hand,,Probable,2005,REG16
Levi Jones,T,Elbow,,Probable,2005,REG16
Chris Perry,RB,Ankle,,Out,2005,REG16
T.J. Houshmandzadeh,WR,Foot,,Probable,2005,REG16
Carl Powell,DE,Neck,,Out,2005,REG16
Odell Thurman,LB,Neck,,Questionable,2005,REG16
Marcus Wilkins,LB,Hand,,Questionable,2005,REG16
William Joseph,DT,Ankle,,Doubtful,2005,REG16
Antonio Pierce,LB,Ankle,,Out,2005,REG16
Jim Finn,RB,Ankle,,Questionable,2005,REG16
Kareem McKenzie,T,Hamstring,,Questionable,2005,REG16
Carlos Emmons,LB,Pectoral,,Doubtful,2005,REG16
Luke Petitgout,T,Back,,Questionable,2005,REG16
Reggie Torbor,LB,Calf,,Questionable,2005,REG16
Carlos Rogers,CB,Biceps,,Questionable,2005,REG16
Matt Bowen,S,Knee,,Probable,2005,REG16
LaVar Arrington,LB,Thigh,,Questionable,2005,REG16
Chris Samuels,T,Ankle,,Probable,2005,REG16
Shawn Springs,CB,Groin,,Probable,2005,REG16
